"* Required Fields","* Pflichtfelder"
"Cancel","Abbrechen"
"Subscribe","Abonnieren"
"Submit","Absenden"
"Account Dashboard","Konto Übersicht"
"Admin","Admin"
"Address Book","Adressbuch"
"Address","Adresse"
"Edit Address","Adresse bearbeiten"
"Delete Address","Adresse löschen"
"Save Address","Adresse speichern"
"Edit Address Entry","Adresseintrag bearbeiten"
"Addresses","Adressen"
"Manage Addresses","Adressen verwalten"
"Address Information","Adressinformation"
"Action","Aktion"
"Update","Aktualisieren"
"Current Password","Aktuelles Passwort"
"All","Alle"
"All countries","Alle Länder"
"All Store Views","Alle Store Views"
"General Subscription","Allgemeines Abonnement"
"Use as My Primary %s Address","Als meine primäre <strong>%s</strong>-Adresse verwenden"
"Set as Default Billing Address","Als Standard-Adresse verwenden"
"Set as Default Shipping Address","Als Standard-Versandanschrift verwenden"
"Login Information","Anmeldeinformation"
"Login","Anmelden"
"Login or Create an Account","Anmelden oder Benutzerkonto erstellen"
"View","Anzeigen"
"SKU","Artikelnummer"
"Items Order","Artikelsortierung"
"Customers Only","Ausschliesslich Kunden"
"Pending","Ausstehend"
"Send auto-generated password","Automatisch erzeugtes Passwort senden"
"Edit","Bearbeiten"
"There was an error while deleting the address","Beim Löschen der Adresse ist ein Fehler aufgetreten"
"User description","Benutzerbeschreibung"
"Create an Account","Benutzerkonto anlegen"
"Edit Account Information","Benutzerkonto bearbeiten"
"Account Information","Benutzerkonto-Information"
"Invalid login or password","Benutzername oder Passwort ungültig"
"Login and password are required","Benutzername und Passwort werden benötigt"
"Approved","Bestätigt"
"Need to Confirm","Bestätigung nötig"
"Order #","Bestell-Nr. "
"Order #%s (%s)","Bestell-Nr. %s (%s)"
"Order List...","Bestellliste..."
"Create Order","Bestellung anlegen"
"View Order","Bestellung ansehen"
"Order Total","Bestellung Gesamtbetrag"
"Orders","Bestellungen"
"View Order List","Bestellungen ansehen"
"Visitor","Besucher"
"Amount","Betrag"
"Subject","Betreff"
"Use as my default billing address","Bitte als meine Standard-<strong>Adresse</strong> verwenden"
"Use as my default shipping address","Bitte als meine Standard-<strong>Versand</strong>adresse verwenden"
"Please enter your email.","Bitte E-Mail-Adresse eingeben."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"Please select","Bitte wählen Sie"
"Please select region, state or province","Bitte wählen Sie Region, Land oder Stadt"
"Can't save address","Can't save address"
"Can't save customer","Can't save customer"
"Can't share customer accounts global.","Can't share customer accounts global."
"CSV","CSV"
"Thank you for registering with %s","Danke, dass Sie sich bei %s registriert haben"
"Invalid current password","Das aktuelle Passwort ist ungültig"
"This is My Primary %s Address","Das ist meine primäre <strong>%s</strong>-Adresse"
"Entity collection is expected","Datensatz-Zusammenstellung wird erwartet"
"Date","Datum"
"Disabled","Deaktiviert"
"Details","Details"
"The address was successfully deleted","Die Adresse wurde gelöscht"
"The address was successfully saved","Die Adresse wurde gespeichert"
"Account information was successfully saved","Die Daten des Benutzerkontos wurden gespeichert"
"The address does not belong to this customer","Diese Adresse gehört nicht zu diesem Kunden"
"Customer email already exists","Diese E-Mail-Adresse besteht bereits."
"This email address was not found in our records","Diese E-Mail-Adresse wurde in unserem System nicht gefunden"
"This customer has no saved addresses.","Dieser Kunde besitzt keine gespeicherten Adressen."
"Average Sale","Durchschnittlicher Verkauf"
"Email","E-Mail"
"Forgot Email Sender","E-Mail Absender vergessen"
"Forgot Email Template","E-Mail Vorlage vergessen"
"Email Sender","E-Mail-Absender"
"Email Address","E-Mail-Adresse"
"Missing email, skipping the record","E-Mail-Adresse fehlt, Eintrag wird übersprungen"
"Email Template","E-Mail-Vorlage"
"Purchased at","Eingekauft bei"
"Purchase On","Einkauf in"
"Records for ""","Einträge für """
"Remove","Entfernen"
"A new password was sent","Es wurde ein neues Passwort verschickt"
"You have not set a primary billing address.","Es wurde keine primäre Adresse angegeben."
"Ext. Price","Ext. Preis"
"Wrong region id by selected country","Falsche Region-ID für das gewählte Land"
"Fax","Fax"
"Subscribed to Newsletter?","Für Newsletter angemeldet?"
"Subscribe to newsletter","Für Newsletter anmelden"
"Error during retrieval of option value: %s","Fehler beim Abfragen des Optionswerts: %s"
"Problem saving the collection, aborting. Error: %s","Fehler beim Speichern der Zusammenstellung: %s"
"Company","Firma"
"Guest","Gast"
"Please enter your email below and we will send you a new password.","Geben Sie unten Ihre E-Mail-Adresse ein, und wir senden Ihnen ein neues Passwort."
"Bought From","Gekauft von"
"Deleted Stores","Gelöschte Stores"
"Lifetime Sales","Gesamteinnahmen"
"Grand Total","Gesamtsumme"
"Grand Total: %s","Gesamtsumme: <strong>%s</strong>"
"Sent","Gesendet"
"Saved ","Gespeichert"
"Global","Global"
"Group","Gruppe"
"Group ""%s"" can not be deleted","Gruppe ""%s"" kann nicht gelöscht werden"
"Edit Group","Gruppe bearbeiten"
"Group Information","Gruppeninformationen"
"Group Name","Gruppenname"
"Hello, %s!","Hallo, %s!"
"Date Added","Hinzugefügt am"
"Added From","Hinzugefügt von"
"HTML","HTML"
"ID","ID"
"Your account balance is: %s","Ihr Kontostand beträgt: <strong>%s</strong>"
"Retrieve your password here","Ihr Passwort hier abrufen"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Ihr Passwort muss mindest aus 6 Zeichen bestehen. Leerzeichen am Anfang oder Ende werden abgeschnitten."
"Skip import row, required field ""%s"" not defined","Import der Zeile übersprungen, benötigtes Feld ""%s"" ist nicht definiert"
"Skip import row, website ""%s"" field not exists","Import der Zeile übersprungen, Website-Feld ""%s"" existiert nicht"
"You have no primary entries in your address book.","In Ihrem Adressbuch befinden sich keine primären Einträge."
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","In Ihrer ""Mein Konto""-Übersicht haben Sie die Möglichkeit, eine Momentaufnahme Ihrer jüngsten Konto-Aktivitäten anzusehen sowie Ihre Kontoinformationen zu aktualisieren. Wählen Sie einen der untenstehenden Links zur Ansicht oder zum Ändern der Angaben."
"IP Address","IP-Adresse"
"No Newsletter Found","Kein Newsletter gefunden"
"n/a","keine Angabe"
"No Items Found","Keine Produkte gefunden"
"No product collections found","Keine Produktzusammenstellungen gefunden"
"Config","Konfiguration"
"Contact Information","Kontaktdaten"
"Customer","Kunde"
"Customer doesn't have primary billing address","Kunde hat keine primäre Adresse"
"Add New Customer","Kunde hinzufügen"
"Customer Since","Kunde seit"
"Save Customer","Kunde speichern"
"Customers","Kunden"
"Delete Customer","Kunden löschen"
"Manage Customers","Kunden verwalten"
"Customer Login","Kunden-Login"
"Customer Addresses","Kundenanschrift"
"Edit Customer's Address","Kundenanschrift bearbeiten"
"Customer View","Kundenansicht"
"Customer Group","Kundengruppe"
"Edit Customer Group ""%s""","Kundengruppe ""%s"" bearbeiten"
"Add New Customer Group","Kundengruppe hinzufügen"
"Delete Customer Group","Kundengruppe löschen"
"Save Customer Group","Kundengruppe speichern"
"Customer Group was successfully deleted","Kundengruppe wurde gelöscht"
"Customer Group was successfully saved","Kundengruppe wurde gespeichert"
"Assign a customer group","Kundengruppe zuweisen"
"Customer Groups","Kundengruppen"
"Edit Customer Groups","Kundengruppen bearbeiten"
"Customer Information","Kundeninformation"
"Customer Configuration","Kundenkonfiguration"
"Share Customer Accounts","Kundenkonten verteilen"
"Create New Customer Account","Kundenkonto erstellen"
"Account Sharing Options","Kundenkonto-Verteilungsoptionen"
"Product Reviews","Kundenmeinungen"
"Customer collection expected","Kundensammlung erwartet"
"Country","Land"
"State/Province","Land/Kanton"
"Delete","Löschen"
"Last 5 Orders","Letzte 5 Bestellungen"
"Last Activity","Letzte Aktivität"
"Recent Orders","Letzte Bestellungen"
"Last Url","Letzte URL"
"Log In","Log In"
"My Account","Mein Benutzerkonto"
"My Wishlist","Mein Wunschzettel"
"My Dashboard","Meine Übersicht"
"My Orders","Meine Bestellungen"
"My Reviews","Meine Kundenmeinungen"
"My Tags","Meine Schlagwörter"
"My Downloadable Products","Meine Downloads"
"Sign up for our newsletter","Melden Sie sich für unseren Newsletter an"
"Sign Up for Newsletter","Melden Sie sich für unseren Newsletter an."
"There are no items in customer's shopping cart at the moment","Momentan befinden sich keine Artikel im Warenkorb des Kunden"
"There are no items in customer's wishlist at the moment","Momentan gibt es keine Artikel auf dem Wunschzettel des Kunden."
"Last Name","Nachname"
