"Cancel","Abbrechen"
"Cancelled","Abgebrochen"
"Unsubcribed","Abgemeldet"
"Unsubscribe","Abmelden"
"Subscription Options","Abonnements-Optionen"
"Subscriber","Abonnent"
"Cannot mark as received subscriber","Abonnent konnte nicht als erhalten markiert werden"
"Cannot delete subscriber","Abonnent konnte nicht gelöscht werden"
"Subscribers From","Abonnent von"
"Subscribers","Abonnenten"
"Sender","Absender"
"Sender Email","Absender-E-Mail-Adresse"
"Success Email Sender","Absender-E-Mail-Adresse bei Erfolg"
"Sender Name","Absender-Name"
"Action","Aktion"
"Date Updated","Aktualisiert am"
"Subcribed","angemeldet"
"Subscribe","Anmelden"
"Unsubscribe Selected","Ausgewählte abmelden"
"Selected problem subscribers successfully unsubscribed","Ausgewählte Problem-Abonnenten erfolgreich abgemeldet"
"Delete Selected Problems","Ausgewählte Probleme entfernen"
"Selected problems successfully deleted","Ausgewählte Probleme gelöscht"
"Sending","Übertrage"
"Sent","Übertragen"
"There was a problem with the un-subscription.","Bei der Abmeldung ist ein Problem aufgetreten"
"There was a problem with the subscription","Beim Anmelden ist ein Problem aufgetreten"
"There was a problem with the subscription: %s","Beim Anmelden ist ein Problem aufgetreten: %s"
"Confirmation Email Sender","Bestätigung Absender-E-Mailadresse"
"Confirmation Email Template","Bestätigung E-Mail Vorlage"
"Need to Confirm","Bestätigung notwendig"
"Confirmation request has been sent","Bestätigungsanfrage wurde versandt"
"Subject","Betreff"
"Queue Subject","Betreff der Warteschlange"
"Please select subscriber(s)","Bitte Abonnenten auswählen"
"Please enter new template name","Bitte neuen Vorlagenname eingeben"
"Duplicate of template code","Doublette des Vorlagencodes"
"Email","E-Mail"
"Unsubscription Email Sender","E-Mail-Absender bei Abmeldung"
"Unsubscription Email Template","E-Mail-Template für Abmeldung"
"Success Email Template","E-Mail-Vorlage bei Erfolg"
"Toggle Editor","Editor ein-/ausschalten"
"Recipients","Empfänger"
"Newsletter unsubscription success","Erfolgreiche Newsletter-Abmeldung"
"Newsletter subscription success","Erfolgreiche Newsletter-Anmeldung"
"There was an error while saving your subscription","Fehler beim Speichern Ihrer Anmeldung"
"Error Code","Fehlercode"
"Error Text","Fehlertext"
"Form was filled incorrectly","Formular wurde nicht korrekt ausgefüllt"
"Guest","Gast"
"Date Added","Hinzugefügt am"
"Return Html Version","HTML-Version ausgeben"
"ID","ID"
"Your subscription was successfully confirmed","Ihr Anmeldung wurde bestätigt"
"The subscription was successfully saved","Ihre Anmeldung wurde gespeichert"
"Convert to Plain Text","In reinen Text umwandeln"
"No subscribers selected","Keine Abonnenten ausgewählt"
"No problems found","Keine Probleme gefunden"
"No Templates Found","Keine Vorlagen gefunden"
"Cannot save your subscription: %s","Konnte Ihre Anmeldung nicht speichern: %s"
" Copy","Kopieren"
"Customer","Kunde"
"Customer Lastname","Kunde Nachname"
"Customer Firstname","Kunde Vorname"
"Sign up for our newsletter:","Melden Sie sich für unseren Newsletter an:"
"Message","Nachricht"
"New Newsletter Template","Neue Newsletter-Vorlage"
"New Template","Neue Vorlage"
"Add New Template","Neue Vorlage"
"Newsletter","Top Meldungen"
"View Newsletter","Newsletter anzeigen"
"Edit Newsletter","Newsletter bearbeiten"
"Save Newsletter","Newsletter speichern"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Newsletter Subscribers","Newsletter-Anmeldungen"
"Newsletter subscription confirmation","Newsletter-Anmeldungsbestätigung"
"Newsletter Message Preview","Newsletter-Nachrichtenvorschau"
"Newsletter Problem Reports","Newsletter-Problemreporte"
"Create Newsletter Template","Newsletter-Vorlage anlegen"
"Newsletter Templates","Newsletter-Vorlagen"
"Newsletter Queue","Newsletter-Warteschlange"
"Newsletter Sign-up","Newsletteranmeldung"
"Not activated","Nicht aktiviert"
"Not Sent","Nicht gesendet"
"Pause","Pause"
"Paused","Pausiert"
"You have been successfully unsubscribed.","Sie wurden abgemeldet."
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle HTML-Tags aus dem Text entfernen möchten?"
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Do you really want to cancel the queue?","Sind Sie sicher, dass Sie diese Warteschlange abbrechen möchten?"
"Save And Resume","Speichern und fortsetzen"
"Save As","Speichern unter"
"Start","Start"
"Queue Start","Start der Warteschlange"
"Status","Status"
"Store","Store"
"Store View","Store View"
"Type","Typ"
"Invalid subscription ID","Ungültige Abonnenementkennung"
"Invalid subscriber ID","Ungültige Abonnentenkennung"
"Invalid queue selected","Ungültige Warteschlange"
"Invalid subscription confirmation code","Ungültiger Abonnenement-Bestätigungscode"
"Processed","Verarbeitet"
"Thank you for your subscription","Vielen Dank für Ihre Anmeldung"
"Edit Template","Vorlage bearbeiten"
"Edit Newsletter Template","Vorlage für Newsletter bearbeiten"
"Cannot delete template","Vorlage konnte nicht gelöscht weren"
"Delete Template","Vorlage löschen"
"Save Template","Vorlage speichern"
"Template Subject","Vorlagenbetreff"
"Template Information","Vorlageninformation"
"Template Content","Vorlageninhalt"
"Template Name","Vorlagenname"
"Template Type","Vorlagentyp"
"Preview Template","Vorlagenvorschau"
"Preview","Vorschau"
"Queue Finish","Warteschlange abgeschlossen"
"Edit Queue","Warteschlange bearbeiten"
"Queue Date Start","Warteschlange gestartet am"
"Queue Information","Warteschlangen-Information"
"Queue Newsletter","Warteschlangen-Newsletter"
"Website","Website"
"Resume","Wiederaufnehmen"
"Add to Queue","Zur Warteschlange hinzufügen"
"Back","Zurück"
"Reset","Zurücksetzen"
