"Enabled","Aktiviert"
"TENDER","Angebot"
"API Login ID","API Login ID"
"Voided transaction","Aufgehobene Transaktion"
"VERBOSITY","Ausgabe erzwingen"
"Authorize and Capture","Authorisieren und erfassen"
"Authorize.net","Authorize.net"
"User","Benutzer"
"Debug","Debug"
"Email customer","E-Mail Kunde"
"Error in retreiving the transaction","Fehler beim Abruf der Transaktion"
"Error in authorizing the payment","Fehler beim Authorisieren der Zahlung"
"Payment authorization error.","Fehler beim Authorisieren der Zahlung."
"Error in capturing the payment","Fehler beim Erfassen der Zahlung"
"Error in refunding the payment","Fehler beim Erstatten der Zahlung"
"Error in refunding the payment.","Fehler beim Erstatten der Zahlung."
"Gateway request error: %s","Gateway Anfragefehler: %s"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkartenverifikation"
"New order status","Neuer Bestellstatus"
"Authorize Only","Nur authorisieren"
"Partner","Partner"
"Password","Passwort"
"PayflowPro","PayflowPro"
"Sort order","Reihenfolge"
"Fraud order status","Status betrügerische Bestellung"
"Test mode","Testmodus"
"Title","Titel"
"Transaction key","Transaktionsschlüssel"
"Invalid transaction id","Ungültige TransaktionsID"
"Invalid amount for authorization","Ungültiger Betrag für die Authorisation"
"Invalid amount for authorization.","Ungültiger Betrag für die Authorisation."
"URL","URL"
"Merchant's email","Verkäufer E-Mail"
"Merchant Login","Verkäuferlogin"
"Payment from Specific countries","Zahlung von spezifischen Ländern"
"Payment from applicable countries","Zahlung von zugelassenen Ländern"
"Payment Action","Zahlungsaktion"
"Payment authorization transaction has been declined.","Zahlungsauthorisation - Transaktion wurde abgelehnt."
