"Updated at","Aktualisiert am"
"Most Viewed","Am meisten angesehen"
"Most viewed","Am meisten angesehen"
"Applied Coupon","Angewandter Gutschein"
"Number of Views","Anzahl Ansichten"
"Number of Orders","Anzahl Bestellungen"
"Number Of Historical Uses","Anzahl bisheriger Verwendungen"
"Number Viewed","Anzahl der Ansichten"
"Number of Items","Anzahl der Artikel"
"Number Of Reviews","Anzahl der Kundenmeinungen"
"Number Purchased","Anzahl der Verkäufe"
"Number Of Uses","Anzahl der Verwendungen"
"Number of items bought from a wishlist: %s","Anzahl der von Wunschzetteln gekauften Produkte: %s"
"Number of times wishlists have been shared (emailed): %s","Anzahl E-Mail-Versendungen eines Wunschzettels: %s"
"Number of Unique Tags","Anzahl einmaliger Schlagwörter"
"Number Fulfilled","Anzahl erfüllt"
"Number Added","Anzahl hinzugefügt"
"Number of Reviews","Anzahl Kundenmeinungen"
"Number of times deleted","Anzahl Löschungen"
"Number of New Accounts","Anzahl neuer Kundenkonten"
"Number of wishlist referrals: %s","Anzahl Wunschzettel-Empfehlungen: %s"
"Number of wishlist conversions: %s","Anzahl Wunschzettel-Umwandlungen: %s"
"Number of wishlists: %s","Anzahl Wunschzettel: %s"
"Show for Current","Anzeigen für den aktuellen"
"Items Ordered","Artikel bestellt"
"Quantity of Items","Artikelmenge"
"Product Sku","Artikelnummer"
"Add to Wishlist","Auf den Wunschzettel"
"Add to Compare","Auf die Vergleichsliste"
"Hits","Aufrufe"
"Out of stock","Ausverkauft"
"Submitted On","Übermittelt am"
"Submitted In","Übermittelt in"
"Popularity","Beliebtheit"
"Total invoiced captured","berechneter, erfasster Gesamtbetrag "
"Total invoiced not captured","berechneter, nicht erfasster Gesamtbetrag"
"Quantity Ordered","Bestellmenge"
"Orders","Bestellungen"
"Bestsellers","Bestseller"
"CSV","CSV"
"Detail","Detail"
"Tag ""%s"" details","Details für Schlagwort ""%s"" "
"Average rating","Durchschnittliche Bewertung"
"Email","E-Mail"
"Revenue","Einnahmen"
"Results","Ergebnisse"
"Refunded","Erstattet"
"Created at","Erstellt am"
"Excel","Excel"
"Guest","Gast"
"Total","Gesamt"
"Number of Total Tags","Gesamtanzahl der Schlagwörter"
"Total Tags","Gesamtanzahl Schlagwörter"
"Total refunded","Gesamterstattung"
"Total Refunded","Gesamterstattung"
"Total Shipping","Gesamtversandkosten"
"Coupons","Gutscheine"
"Popular Tags","Häufige Schlagwörter"
"ID","ID"
"Your Recently Viewed","Ihre zuletzt angesehenen Produkte"
"Your Recently Compared","Ihre zuletzt verglichenen Produkte"
"Add to Cart","In den Warenkorb"
"Invoiced","In Rechnung gestellt"
"Total invoiced","in Rechnung gestellter Gesamtbetrag "
"Year","Jahr"
"Customer","Kunde"
"Customers","Kunden"
"Customers that have wishlist: %s%","Kunden mit Wunschzettel: %s%"
"Customers by number of orders","Kunden nach Bestellanzahl"
"Customers by orders total","Kunden nach Bestellsumme"
"Review","Kundenmeinung"
"Reviews","Kundenmeinungen"
"Products Reviews","Kundenmeinungen"
"Customers Reviews","Kundenmeinungen"
"Product Reviews","Kundenmeinungen für Produkte"
"Customer Name","Kundenname"
"Customers Report","Kundenreport"
"Customer Tags","Kundenschlagwörter"
"Customers Tags","Kundenschlagwörter"
"Stock Qty","Lagerbestand"
"Last Review","Letzte Kundenmeinung"
"Month","Monat"
"Last Name","Nachname"
"Name","Name"
"New Accounts","Neue Kundenkonten"
"Offline Refunded","Offline erstattet"
"Online Refunded","Online erstattet"
"Price","Preis"
"Products Tags","Produkt-Schlagwörter"
"Product Tags","Produkt-Schlagwörter"
"Products","Produkte"
"Items in Cart","Produkte im Warenkorb"
"Products in carts","Produkte in Warenkörben"
"Product Name","Produktname"
"Products Report","Produktreport"
"Poducts Report","Produktreport"
"Discounts","Rabatte"
"Reports","Reporte"
"Tags submitted to %s","Schlagwörter übermittelt für %s"
"Tags submited by %s","Schlagwörter übermittelt von %s"
"Tag","Schlagwort"
"Tag Detail","Schlagwortdetails"
"Tag Name","Schlagwortname"
"Tag use","Schlagwortverwendung"
"Visible In","Sichtbar in"
"Abandoned carts","Stehen gelassene Warenkörbe"
"Tax","Steuer"
"Tax Amount","Steuerbetrag"
"Tax Rate","Steuersatz"
"Search Terms","Suchbegriffe"
"Day","Tag"
"Low stock","Tiefer Lagerbestand"
"Title","Titel"
"Sales Report","Verkaufsreport"
"Sales","Verkäufe"
"Shipping","Versand"
"Carrier/Method","Versender/Versandart"
"Bought from wishlists","Von Wunschzetteln gekauft"
"First Name","Vorname"
"Carts","Warenkörbe"
"Shopping Cart","Warenkorb"
"Wishlists","Wunschzettel"
"Wishlist vs. Regular Order","Wunschzettel gg. Bestellungen"
"Wishlist Report","Wunschzettelreport"
"Recently Viewed Products","Zuletzt angesehene Artikel"
"Recently Viewed/Compared Products","Zuletzt angesehene/verglichene Artikel"
"Recently Compared Products","Zuletzt verglichene Artikel"
"Subtotal","Zwischentotal"
