" The customer doesn't exist in the system anymore"," The customer doesn't exist in the system anymore"
"""%s"" coupon code is not valid.","""%s"" Gutscheincode ist nicht gültig."
"Track all shipment(s)","(Alle) Sendungen verfolgen"
"Order Date: %s","<p><strong>Bestelldatum:</strong> %s</p>"
"<span style=""color:red"">Requires Tax Based On Shipping Origin</span>","<span style=""color:red"">Benötigt Steuer basierend auf Versandursprung</span>"
"Cancel","Abbrechen"
"Credit Memo Email Sender","Absender für Gutschrift-E-Mail"
"Address","Adresse"
"Action","Aktion"
"Actions","Aktionen"
"Refresh","Aktualisieren"
"View All","Alle ansehen"
"Print All","Alle drucken"
"Print All Refunds","Alle Erstattungen drucken"
"Print Credit Memos","Alle Gutschriften drucken"
"Print All Invoices","Alle Rechnungen drucken"
"Track all shipments","Alle Sendungen verfolgen"
"Print All Shipments","Alle Versandinformationen drucken"
"To","An"
"To:","An:"
"Can not initialize shipment for adding tracking number.","Anlegen einer Trackingnummer für den Versand nicht möglich."
"Signed Up From","Anmeldung in"
"Adjustment Fee","Anpassung Gebühr"
"Adjustment Fee:","Anpassung Gebühr:"
"Adjustment Refund","Anpassung Rückerstattung"
"Adjustment Refund:","Anpassung Rückerstattung:"
"View","Ansehen"
"Apply","Anwenden"
"Item","Artikel"
"Items to Invoice","Artikel - in Rechnung zu stellen"
"Items to Ship","Artikel - zu versenden"
"Items to Refund","Artikel - zurück zu erstatten"
"Items Ordered","Artikel bestellt"
"Items Invoiced","Artikel in Rechnung gestellt"
"Items Shipped","Artikel versandt"
"Items Refunded","Artikel zurückerstattet"
"Sku","Artikelnummer"
"SKU","Artikelnummer"
"Void","Aufheben"
"Select from existing customer addresses:","Aus bestehenden Kundenadressen:"
"Add Selected Product(s) to Order","Ausgewählte Produkte der Bestellung hinzufügen"
"Pending","Ausstehend"
"About This Order:","Über diese Bestellung:"
"About Your Order","Über Ihre Bestellung"
"Edit Order #%s","Ändern der Bestellung Nr. %s"
"Click to change shipping method","Ändern der Versandmethode"
"Update Changes","Änderungen anwenden"
"Edit","Bearbeiten"
"Account Information","Benutzerkonto-Information"
"Can not register existing creditmemo","Bestehende Gutschrift kann nicht erfasst werden."
"Can not register existing invoice","Bestehende Rechnung kann nicht erfasst werden."
"Can not register existing shipment","Bestehender Versand kann nicht erfasst werden."
"Order Update","Bestellaktualisierung"
"Order Update (Credit Memo)","Bestellaktualisierung (Gutschrift)"
"Order Update (Invoice)","Bestellaktualisierung (Rechnung)"
"Order Update (Shipment)","Bestellaktualisierung (Versand)"
"Order View","Bestellansicht"
"Order Date","Bestelldatum"
"Order Date: ","Bestelldatum:"
"Order Details","Bestelldetails"
"Order Information","Bestellinformationen"
"Order Comment","Bestellkommentar"
"Order Comments","Bestellkommentare"
"Order Status","Bestellstatus"
"Subscribe to Order Status","Bestellstatus abonnieren"
"Ordered","Bestellt"
"Order","Bestellung"
"Create New Order","Bestellung anlegen"
"Create New Order for %s","Bestellung anlegen für %s"
"Create New Order for %s in %s","Bestellung anlegen für %s in %s"
"View Order","Bestellung ansehen"
"Submit Order","Bestellung übermitteln"
"Order not longer exist","Bestellung existiert nicht mehr"
"Order not longer exist.","Bestellung existiert nicht mehr."
"Create New Order for New Customer","Bestellung für Neukunden anlegen"
"Create New Order for New Customer in %s","Bestellung für Neukunden anlegen in %s"
"Order Total","Bestellung Gesamtbetrag"
"Order Grand Total","Bestellung Gesamtbetrag"
"Order Totals","Bestellung Gesamtbeträge"
"Can nod add order history.","Bestellung konnte dem Verlauf nicht hinzugefügt werden."
"Order #%s","Bestellung Nr. %s"
"Order # %s","Bestellung Nr. %s"
"Order #%s - %s","Bestellung Nr. %s - <small><em>%s</em></small>"
"Track Order","Bestellung verfolgen"
"Order was placed using %s","Bestellung wurde aufgegeben mittels %s"
"Order was not cancelled.","Bestellung wurde nicht storniert"
"Order was not unholded.","Bestellung wurde nicht wiederaufgenommen."
"Order was not put on hold.","Bestellung wurde nicht zurückgestellt."
"Order was successfully cancelled.","Bestellung wurde storniert"
"Order was successfully unholded.","Bestellung wurde wiederaufgenommen."
"Orders was successfully put on hold","Bestellung wurde zurückgestellt"
"Order was successfully put on hold.","Bestellung wurde zurückgestellt."
"Order Subtotal","Bestellung Zwischentotal"
"Order Subtotal:","Bestellung Zwischentotal:"
"Orders","Bestellungen"
"Orders was canceled","Bestellungen wurden storniert"
"Orders was unholded","Bestellungen wurden wieder aufgenommen"
"Order History","Bestellverlauf"
"Capture Amount","Betrag erfassen"
"Paid","Bezahlt"
"You need specify carrier.","Bitte einen Versender angeben."
"Please select a customer","Bitte wählen Sie einen Kunden"
"Please select a store","Bitte wählen Sie einen Store"
"Please select products to add","Bitte wählen Sie Produkte, die hinzugefügt werden sollen"
"Can not create block ""%s""","Block ""%s"" kann nicht erstellt werden"
"Can't get order instance","Can't get order instance"
"Credit Memo #","Credit Memo #"
"Date","Datum"
"Can not retrieve tracking number detail.","Details für Tracking-Nummer können nicht abgerufen werden."
"This order no longer exists.","Diese Bestellung existiert nicht mehr."
"Track this shipment","Diese Sendung verfolgen"
"Discount","Discount"
"Document","Dokument"
"Print Order","Drucken"
"Email","E-Mail"
"Order Comment Email Sender","E-Mail-Absender für Bestellkommentar"
"Credit Memo Comment Email Sender","E-Mail-Absender für Gutschriftenkommentar"
"New Order Confirmation Email Sender","E-Mail-Absender für neue Bestellbestätigung"
"Invoice Email Sender","E-Mail-Absender für Rechnung"
"Invoice Comment Email Sender","E-Mail-Absender für Rechnungskommentar"
"Shipment Email Sender","E-Mail-Absender für Versand"
"Shipment Comment Email Sender","E-Mail-Absender für Versandkommentar"
"Order Comment Email Template","E-Mail-Vorlage für Bestellkommentar"
"Credit Memo Comment Email Template","E-Mail-Vorlage für Gutschriftenkommentar"
"Invoice Email Template","E-Mail-Vorlage für Rechnung"
"Invoice Comment Email Template","E-Mail-Vorlage für Rechnungskommentar"
"Shipment Email Template","E-Mail-Vorlage für Versand"
"Shipment Comment Email Template","E-Mail-Vorlage für Versandkommentar "
"Email Order Confirmation","E-Mailkopie der Bestellbestätigung"
"Email Copy of Credit Memo","E-Mailkopie der Gutschrift"
"Email Copy of Invoice","E-Mailkopie der Rechnung"
"Email Copy of Shipment","E-Mailkopie der Versandinformationen"
"Custom Value","Eigener Wert"
"Paid Amount","Einzahlungsbetrag"
"Remove","Entfernen"
"Capture","Erfassen"
"Print Refund","Erstattung drucken"
"Total Refund","Erstattung gesamt"
"Total Refunded","Erstattungen gesamt"
"Create","Erstellen"
"Created At","Erstellt am"
"There are no printable documents related to selected orders","Es gibt keine weiteren druckbaren Dokumente mehr im Zusammenhang mit den ausgewählten Bestellungen"
