"-- Please Select --","-- Bitte auswählen --"
"Please select County","Bitte Kanton/Bezirk wählen"
"Please select State","Bitte Land wählen"
"Please select Country","Bitte Land wählen"
"CSV","CSV"
"This rule no longer exists","Diese Regel existiert nicht mehr"
"This class no longer exists","Diese Steuerklasse existiert nicht mehr"
"One of row has invalid country code.","Eine Zeile weist einen ungültigen Ländercode auf."
"Excl. Tax","exkl. MWST"
"Error while deleting this tax rule. Please try again later.","Fehler beim Löschen dieser Regel. Bitte versuchen Sie es später noch einmal."
"Error while deleting this class. Please try again later.","Fehler beim Löschen dieser Steuerklasse. Bitte versuchen Sie es später noch einmal."
"Error while deleting this rate. Please try again later.","Fehler beim Löschen dieses Steuersatzes. Bitte versuchen Sie es später noch einmal."
"Error while deleting this rate. Incorrect rate ID","Fehler beim Löschen dieses Steuersatzes. Falsche Steuersatz-ID"
"Error while saving this tax rule. Please try again later.","Fehler beim Speichern dieser Regel. Bitte versuchen Sie es später noch einmal."
"Error while saving this tax rule. This product tax class and customer tax class combination","Fehler beim Speichern dieser Regel. Diese Kombination von Steuerklasse und Kundensteuerklasse"
"Error while saving this tax class. Please try again later.","Fehler beim Speichern dieser Steuerklasse. Bitte versuchen Sie es später noch einmal."
"Error while saving this tax class. Class with the same name ","Fehler beim Speichern dieser Steuerklasse. Der Klassenname existiert bereits"
"Error while saving this rate. Please try again later.","Fehler beim Speichern dieses Steuersatzes. Bitte versuchen Sie es später noch einmal."
"ID","ID"
"Customer Tax Class Information","Informationen zu Kundensteuerklasse"
"Product Tax Class Information","Informationen zu Produktsteuerklasse "
"Incl. Tax","inkl. MWST"
"Inc. Tax","inkl. MWST"
"State/Region","Kanton"
"County","Kanton/Bezirk"
"Class Name","Klassenname"
"Customer Tax Class","Kundensteuerklasse"
"Customer Tax Classes","Kundensteuerklassen"
"Manage Customer Tax Classes","Kundensteuerklassen verwalten"
"State","Land"
"Country","Land"
"Add New Class","Neue Klasse anlegen"
"New Rule","Neue Regel"
"New Class","Neue Steuerklasse"
"Add New Tax Rule","Neue Steuerregel anlegen"
"Add New Tax Rate","Neuen Steuersatz anlegen"
"New Tax Rate","Neuer Steuersatz"
"Zip/Post Code","Postleitzahl"
"Product Tax Class","Produktsteuerklasse"
"Product Tax Classes","Produktsteuerklassen"
"Manage Product Tax Classes","Produktsteuerklassen verwalten"
"Edit Rule","Regel bearbeiten"
"Delete Rule","Regel löschen"
"Save Rule","Regel speichern"
"Tax rule was successfully deleted","Regel wurde gelöscht"
"Tax rule was successfully saved","Regel wurde gespeichert"
"Manage Tax Rules","Regeln verwalten"
"You cannot delete this tax class as it is used for %d customer groups.","Sie können diese Steuerklasse nicht löschen, da sie noch für %s Kundengruppe(n) verwendet wird."
"You cannot delete this tax class as it is used for %d products.","Sie können diese Steuerklasse nicht löschen, da sie noch für %s Produkt(e) verwendet wird."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Sie können diese Steuerklasse nicht löschen, da sie noch in einer oder mehreren Regeln verwendet wird. Bitte löschen Sie diese Regeln zuerst."
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Tax","Steuer"
"Edit Class '%s'","Steuerklasse '%s' bearbeiten"
"Edit Class","Steuerklasse bearbeiten"
"Delete Class","Steuerklasse löschen"
"Save Class","Steuerklasse speichern"
"Tax class was successfully deleted","Steuerklasse wurde gelöscht"
"Tax class was successfully saved","Steuerklasse wurde gespeichert"
"Tax Rule Information","Steuerregel-Informationen"
"Tax Rules","Steuerregeln"
"Tax Rate","Steuersatz"
"Edit Tax Rate","Steuersatz löschen"
"Delete Rate","Steuersatz löschen"
"Save Rate","Steuersatz speichern"
"Tax rate was successfully deleted","Steuersatz wurde gelöscht"
"Tax rate was successfully saved","Steuersatz wurde gespeichert"
"Tax rate was successfully imported","Steuersatz wurde importiert"
"Tax Rate Information","Steuersatz-Informationen"
"Tax Rates","Steuersätze"
"Import / Export Tax Rates","Steuersätze exportieren"
"Export Tax Rates","Steuersätze exportieren"
"Tax Rates Import / Export","Steuersätze Im-/Export"
"Import Tax Rates","Steuersätze importieren"
"Manage Tax Rates","Steuersätze verwalten"
"Invalid file upload attempt","Ungültige Datei hochgeladen"
"Invalid data for tax rate calculation","Ungültige Daten für die Berechnung des Steuersatzes"
"Incorrect rate Data","Ungültige Steuersatzdaten"
"Invalid file format upload attempt","Ungültiges Dateiformat hochgeladen"
"Sales","Verkäufe"
"XML","XML"
"Back","Zurück"
"Reset","Zurücksetzen"
