"1 Day Freight","1 Tag Fracht"
"First-Class","1. Klasse"
"First Overnight","1. Klasse über Nacht"
"2Day","2 Tage"
"2 Day Freight","2 Tage Fracht"
"3 Day Freight","3 Tage Fracht"
"Pickup method","Abholart"
"Sender","Absender"
"Enabled","Aktiviert"
"All Services","Alle Dienstleistungen"
"Response is in the wrong format","Antwort liegt im falschen Format vor"
"Oversize","Überformat"
"Invalid DHL XML code for type %s: %s","Üngültiger DHL XML Code für Typ %s: %s"
"Invalid DHL XML code type: %s","Üngültiger DHL XML Codetyp : %s"
"Handling Applied","Bearbeitung angewendet"
"Handling fee","Bearbeitungsgebühr"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"UserId","Benutzer ID"
"User ID","Benutzer ID"
"Order","Bestellung"
"Please enter the package weight","Bitte Paketgewicht angeben"
"Letter","Brief"
"Drop Box","Briefkasten"
"Container","Container"
"DHL","DHL"
"Third Party","Drittanbieter"
"Dropoff","Einwurf"
"Receiver","Empfänger"
"Allowed methods","Erlaubte Arten"
"Europe First Priority","Europa höchste Priorität"
"Express","Express"
"Express 10:30 AM","Express bis 10.30 Uhr"
"Express Mail","Express Mail"
"Express Saturday","Express Samstagszustellung"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Brief"
"FedEx Pak","FedEx Paket"
"FedEx Tube","FedEx Röhre"
"Unable to retrieve tracking","Fehler beim Abfragen des Trackings"
"Error #%s : %s (%s)","Fehler Nr. %s : %s (%s)"
"Error #%s: %s","Fehler Nr. %s: %s"
"Displayed Error Message","Fehlermeldung angezeigt"
"Flat","Festkosten"
"Flat Rate Box","Festkosten-Box"
"Flat Rate Envelope","Festkosten-Brief"
"Free method","Freie Art"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Bound Printed Matter","Gebundene Drucksache"
"Business Service Center","Geschäftskunden-Servicecenter"
"Weight Unit","Gewichtseinheit"
"Size","Grösse"
"Large","Gross"
"Your Packaging","Ihre Verpackung"
"International First","International 1. Klasse"
"International Economy","International Economy"
"Intl Economy Freight","International Economy Fracht"
"International Express","International Express"
"International Priority","International Priority"
"Intl Priority Freight","International Priority Fracht"
"Yes","Ja"
"Shipment is not available.","Kein Versand verfügbar."
"There is no available method for selected shipping address.","Keine Versandart für gewählte Versandadresse verfügbar."
"Free shipping with minimum order amount","Kostenloser Versand mit Mindestbestellbetrag"
"Account ID","Kundenkontokennung"
"Account number","Kundenkontonummer"
"Request Courier","Kurier anfordern"
"Ground","Landweg"
"Empty response","Leere Rückmeldung"
"Home Delivery","Lieferung frei Haus"
"Machinable","Maschinenverarbeitbar"
"Media Mail","Media Mail"
"Minimum order amount for free shipping","Mindestbestellmenge für versandkostenfreie Lieferung"
"Next Afternoon","Nächsten Nachmittag"
"No","Nein"
"Non-rectangular","Nicht rechteckig"
"Package","Paket"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Paket-Höchstgewicht (bitte erkundigen Sie sich bei Ihrem Transporteur nach dem möglichen Höchstgewicht)"
"Package Description","Paketbeschreibung"
"Parcel","Parcel"
"Parcel Post","Parcel Post"
"Password","Passwort"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Rectangular","Rechteckig"
"Sort order","Reihenfolge"
"Library","Sammlung"
"Shipment picked up","Sendung abgeholt"
"Regular","Standard"
"Standard Overnight","Standard Overnight"
"Regular Pickup","Standardabholung"
"Station","Station"
"Title","Titel"
"Tracking XML URL","Tracking XML URL"
"Unknown error","Unbekannter Fehler"
"Invalid FedEx XML code for type %s: %s","Ungültiger FedEx XML Code für Typ %s: %s"
"Invalid FedEx XML code type: %s","Ungültiger FedEx XML Codetyp: %s"
"Invalid UPS CGI code for type %s: %s","Ungültiger UPS CGI Code für Typ %s: %s"
"Invalid UPS CGI code type: %s","Ungültiger UPS CGI Codetyp : %s"
"Invalid USPS XML code for type %s: %s","Ungültiger USPS XML Code für Typ %s: %s"
"Invalid USPS XML code type: %s","Ungültiger USPS XML Codetyp : %s"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"UPS","UPS"
"UPS type","UPS Typ"
"Origin of the shipment","Ursprung der Sendung"
"USPS","USPS"
"Variable","Variabel"
"Packaging","Verpackung"
"Ship to Specific countries","Versand an bestimmte Länder"
"Ship to applicable countries","Versand an mögliche Länder"
"Shipment Dutiable","Versand zollpflichtig"
"Shipment type","Versandart"
"Show method if not applicable","Versandart zeigen, auch wenn nicht möglich"
"Shipping key","Versandkennung"
"Shipping key (International)","Versandkennung (international)"
"Cannot retrieve shipping rates","Versandkosten konnten nicht abgerufen werden"
" was not delivered nor scanned","wurde weder zugestellt noch eingescannt"
"Shipment Duty Payment Type","Zahlweise für Zoll"
"Destination type","Zieltyp"
"Access ID","Zugangskennung"
"Access license number","Zugangslizenznummer"
"Delivered","Zugestellt"
"Second Day Service","Zustellung am zweiten Tag"
