"File Transfer","Dateien"
"Manage Images","Bilder verwalten"
"Manage Products","Produkte verwalten"
"Manage Downloadable Images","Bilder Downloads verwalten"
"Manage Downloadable Documents","Dokument Downloads verwalten"
"Delete Product Images","Produktebilder löschen"
"Delete Downloadable Images","Bilder Downloads löschen"
"Delete Downloadable Documents","Dokument Downloads löschen"
"Products Manager. These products are registered in database.","Produkte Manager. Diese Produkte sind aus EFIT verfügbar."
"Images Manager. These images are registered in database.","Bilder Manager. Diese Bilder sind aus der Mediendatenbank verfügbar."
"Downloadable Images Manager. These downloadable images are not registered in database","Bilder Downloads. Diese Download Bilder sind nicht in der Datenbank registriert."
"Refresh","Aktualisieren"
