"Found %d rows","%d Zeilen gefunden"
"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Memory Used: %s","Belegter Arbeitsspeicher: %s"
"Please declare ""adapter"" and ""method"" node first","Bitte deklarieren Sie den ""Adapter""- und ""Methode""-Knoten vorgängig"
"Sheet 1","Blatt 1"
"Declared adapter %s not found","Deklarierter Adapter ""%s"" nicht gefunden"
"Loaded successfully: ""%s""","Erfolgreich geladen: ""%s"""
"Saved successfully: ""%s"" [%d byte(s)]","Erfolgreich gespeichert: ""%s"" [%d Byte(s)]"
"Error field mapping! Fields list for mapping is not defined","Fehler bei der Felderabstimmung! Feldliste für Abstimmung ist nicht definiert"
"Error occured during file opening: ""%s""","Fehler beim Öffnen der Datei ""%s"""
"Done","Fertig"
"File ""%s"" don't exist","File ""%s"" don't exist"
"Total records: %s","Gesamtanzahl Einträge: %s"
"ETA: %s","Geschätzte Zeit: %s"
"Access denied to destination folder ""%s""","Kein Zugriff auf Zielverzeichnis ""%s"""
"Could not load file: ""%s""","Konnte Datei ""%s"" nicht laden"
"Could not save file: %s","Konnte Datei ""%s"" nicht speichern"
"Method ""%s"" not defined in adapter %s","Methode ""%s"" ist im Adapter %s nicht definiert"
"minute","Minute"
"minutes","Minuten"
"Skip undefined row","Nicht definierte Zeile übersprungen"
"Starting %s :: %s","Starte %s :: %s"
"hour","Stunde"
"hours","Stunden"
"Processed records: %s","Verarbeitete Einträge: %s"
"Less than a minute","Weniger als eine Minute"
"Destination folder ""%s"" does not exist or not access to create","Zielverzeichnis ""%s"" existiert nicht oder kann nicht angelegt werden"
"Destination folder ""%s"" is not a directory","Zielverzeichnis ""%s"" ist kein Verzeichnis"
"Destination folder ""%s"" is not a writeable","Zielverzeichnis ""%s"" ist nicht beschreibbar"
