"%s already exist","%s existent déjà"
"%s already exists","%s existe déjà"
"-- Please Select --","-- Votre choix --"
"Add Block Names to Hints","Ajouter les noms des blocs aux astuces"
"Add Store Code to Urls","Ajouter le code du magasin aux URLs"
"Admin","Admin"
"Admin Base URL","URL de base de l'admin"
"Admin User Emails","Emails de l'administrateur"
"Advanced","Avancé"
"Allow countries","Autoriser les pays"
"Allowed IPs (comma separated)","IPs autorisées (séparées par des virgules)"
"Are you sure?","En êtes-vous sûr ?"
"Back","Retour"
"Base JavaScript URL","URL de base Javascript"
"Base Link URL","URL de base lien"
"Base Media URL","URL de base Media"
"Base Skin URL","URL de base habillage"
"Base URL","URL de base"
"Before modifying the store view code please make sure that it is not used in index.php","Avant de modifier le code de vue magasin, assurez-vous qu'il n'est pas utilisé dans index.php"
"Before modifying the website code please make sure that it is not used in index.php","Avant de modifier le code de site web, assurez-vous qu'il n'est pas utilisé dans index.php"
"Block with name ""%s"" already exists","Un bloc portant le nom ""%s"" existe déjà"
"Blocks HTML output","Sortie de blocs HTML"
"Can't retrieve request object","Impossible de récupérer l'objet de requête"
"Can\'t retrieve entity config: %s","Impossible de récupérer la configuration d\'entité : %s"
"Cancel","Annuler"
"Cannot Delete Email Template","Impossible d'effacer le gabarit de mail"
"Cannot complete this operation from non-admin area.","Impossible d'accomplir cette opération en dehors de la section d'admin."
"Code","Code"
"Collections Data","Données de collections"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Le fichier de controller a été chargé mais la classe n'existe pas"
"Cookie Domain","Domaine du cookie"
"Cookie Lifetime","Durée de vie des cookies"
"Cookie Path","Chemin du cookie"
"Copyright","Copyright"
"Countries options","Options des pays"
"Create Store","Créer un magasin"
"Create Store View","Créer une vue magasin"
"Create Website","Créer un site web"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tâches programmées) - tous les temps sont en minutes"
"Current package name","Nom du paquet actuel"
"Custom Design","Design personnalisé"
"Custom admin URL","URL d'admin personnalisée"
"Custom email 1","Email personnalisé 1"
"Custom email 2","Email personnalisé 2"
"Customer support","Support client"
"Database was successfuly backed up.","La base de données a bien été sauvegardée."
"Date From","Entre le"
"Date To","et le"
"Date/time format ""%s"" is not supported.","Le format de date/heure ""%s"" n'est pas supporté."
"Debug","Déboguage"
"Default","Défaut"
"Default Description","Description par défaut"
"Default Keywords","Mots-clés par défaut"
"Default Pages","Pages par défaut"
"Default Robots","Robots par défaut"
"Default Store","Magasin par défaut"
"Default Store View","Vue magasin par défaut"
"Default Title","Titre par défaut"
"Default country","Pays par défaut"
"Default no-route url","URL non trouvée par défaut"
"Default web url","URL web par défaut"
"Delete","Supprimer"
"Delete Store","Supprimer le magasin"
"Delete Store View","Effacer la vue magasin"
"Delete Website","Supprimer le site web"
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Effacer une vue magasin n'effacera pas les informations associées à cette vue magasin (par ex. les catégories, les produits, etc.), mais la vue magasin ne pourra pas être restaurée. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer la vue magasin."
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Effacer un magasin n'effacera pas les informations associées à ce magasin (par ex. les catégories, les produits, etc.), mais le magasin ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer le magasin."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Effacer un site web n'effacera pas les informations associées à ce site web (par ex. les catégories, les produits, etc.), mais le site web ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant d'effacer le site web."
"Design","Design"
"Design Change","Changement de design"
"Developer","Développeur"
"Developer Client Restrictions","Restrictions client développeur"
"Disable email communications","Désactiver les communications mail"
"Disable modules output","Désactiver la sortie des modules"
"Duplicate Of Template Code","Duplication du code de gabarit"
"Edit Design Change","Éditer le changement de design"
"Edit Store","Modifier le magasin"
"Edit Store View","Éditer la vue magasin"
"Edit Website","Modifier le site web"
"Empty identifier field name","Vider le nom du champ d'identifiant"
"Empty main table name","Nom de table principale vide"
"Enabled","Activé"
"Enabled for Admin","Activée pour l'admin"
"Enabled for Frontend","Activée pour le frontend"
"Error in file: ""%s"" - %s","Erreur dans le fichier : ""%s"" - %s"
"Error while saving. Please try again later.","Erreur lors de la sauvegarde. Veuillez réessayer plus tard."
"Error: Passwords do not match","Erreur : les mots de passe sont différents"
"Exceptions Log File Name","Nom du fichier de log d'exceptions"
"Failure history lifetime","Historique d'échecs"
"First Day of Week","Premier jour de la semaine"
"Footer","Pied de page"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Afin que les URLs soient générées correctement lors de l'exécution de cron, assurez-vous que les URL non sécurisée et sécurisée sont correctement renseignées."
"Forgot Password Email Sender","Expéditeur du mail d'oubli de mot de passe"
"Forgot Password Email Template","Gabarit du mail d'oubli de mot de passe"
"General","Général"
"General Settings","Paramètres généraux"
"General contact","Contact général"
"Generate schedules every","Générer la programmation tous les"
"Global","Global"
"HTML Head","En-tête HTML"
"Header","En-tête"
"History cleanup every","Nettoyer l'historique tous les"
"Host","Serveur"
"Id path for specified store","Chemin identifiant pour le magasin spécifié"
"Incorrect credit card expiration date","Date d'expiration de carte incorrecte"
"Invalid base url type","Type d'URL de base invalide"
"Invalid block name to set child %s: %s","Nom de bloc non valide pour rattacher l'enfant %s : %s"
"Invalid block type: %s","Type de bloc non valide : %s"
"Invalid block: %s","Bloc non valide : %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument non valide pour la mise à jour d'agencement de page, Mage_Core_Model_Layout_Element attendu"
"Invalid layout update handle","Manipulation de mise à jour de gabarit non valide"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages ""%s"" invalide pour l'initialisation des messages de gabarit"
"Invalid transactional email code: ","Code d'email transactionnel non valide :"
"Invalid websites configuration path: %s","Chemin de configuration des sites web non valide : %s"
"Layout","Agencement"
"Layouts","Agencements"
"Leave empty for access from any location","Laisser vide pour accéder depuis n'importe quelle IP"
"Locale","Profil local"
"Locale options","Options de locale"
"Log Settings","Paramètres de log"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Log depuis Mage::log(). Le fichier se trouve dans {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Log depuis Mage::logException(). Le fichier se trouve dans {{base_dir}}/var/log"
"Logo Image Alt","Texte alternatif du logo"
"Logo Image Src","Source du logo"
"Manage Stores","Gérer les magasins"
"Match expressions in the same order as displayed in the configuration.","Faire coïncider les expressions dans l'ordre d'affichage de la configuration."
"Miscellaneous HTML","Code HTML divers"
"Missed if not run within","Erreur si non exécuté en moins de"
"Model class does not exist: %s","La classe modèle n'existe pas : %s"
"Model collection resource name is not defined","Le nom de ressource de modèle collection n'est pas défini"
"Name","Nom"
"New Design Change","Nouveau changement de design"
"New Store","Nouveau magasin"
"New Store View","Nouvelle vue magasin"
"New Website","Nouveau site web"
"Package","Paquet"
"Please choose to register or to checkout as a guest","Choisissez de vous enregistrer ou de passer votre commande en tant qu'invité"
"Please define flag code.","Veuillez définir un code de drapeau."
"Please enter 6 or more characters.","Veuillez saisir au moins 6 caractères."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Veuillez saisir au moins 6 caractères. Les espaces en début ou en fin de chaîne seront ignorés."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0 dans ce champ."
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par exemple $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.exemple.com ou www.exemple.com"
"Please enter a valid URL. http:// is required","Veuillez saisir une URL valide. Elle doit commencer par http://"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid date.","Veuillez saisir une date valide."
