"-- Please Select --","-- Votre choix --"
"Add New Class","Ajouter une nouvelle classe"
"Add New Tax Rate","Ajouter un nouveau taux de TVA"
"Add New Tax Rule","Ajouter une nouvelle règle de TVA"
"Apply Discount On Prices Including Tax","Appliquer la remise sur les prix TTC"
"Apply Tax After Discount","Appliquer les taxes après la remise"
"Apply Tax On","Appliquer les taxes sur"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Back","Retour"
"CSV","CSV"
"Calculation","Calcul"
"Catalog prices include tax","Les prix catalogue incluent les taxes"
"Class Name","Nom de la classe"
"Code","Code"
"Country","Pays"
"County","Comté"
"Custom price if available","Prix personnalisé si disponible"
"Customer Tax Class","Classe de TVA clients"
"Customer Tax Class Information","Informations de classe de TVA client"
"Customer Tax Classes","Classes de TVA client"
"Default Country","Pays par défaut"
"Default Post Code","Code postal par défaut"
"Default State","État par défaut"
"Default Tax Origin Calculation","Origine de la TVA pour le calcul"
"Delete Class","Supprimer la classe"
"Delete Rate","Supprimer le taux"
"Delete Rule","Supprimer la règle"
"Display","Afficher"
"Display Cart/Order Prices","Afficher les prix de panier/commande"
"Display Product Prices","Afficher les prix des produits"
"Display Shipping Prices","Afficher les prix de livraison"
"Display Zero Tax Subtotal","Afficher le sous-total de taxe nulle"
"Display full tax summary","Afficher le résumé complet des taxes"
"Edit Class","Éditer la classe"
"Edit Class '%s'","Éditer la classe '%s'"
"Edit Rule","Éditer la règle"
"Edit Tax Rate","Éditer le taux de TVA"
"Error while deleting this class. Please try again later.","Erreur lors de la suppression de cette classe. Veuillez réessayer ultérieurement."
"Error while deleting this rate. Incorrect rate ID","Erreur lors de la suppression de ce taux. Identifiant de taux invalide."
"Error while deleting this rate. Please try again later.","Erreur lors de la suppression de ce taux. Veuillez réessayer ultérieurement."
"Error while deleting this tax rule. Please try again later.","Erreur lors de la suppression de cette règle de TVA. Veuillez réessayer ultérieurement."
"Error while saving this rate. Please try again later.","Erreur lors de la sauvegarde de ce taux. Veuillez réessayer ultérieurement."
"Error while saving this tax class. Class with the same name ","Erreur lors de la sauvegarde de cette classe de TVA. Une classe portant le même nom existe déjà."
"Error while saving this tax class. Please try again later.","Erreur lors de la sauvegarde de cette classe de TVA. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. Please try again later.","Erreur lors de la sauvegarde de cette classe de TVA. Veuillez réessayer ultérieurement."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Erreur lors de la sauvegarde de cette classe de TVA. Cette combinaison existe déjà."
"Excl. Tax","HT"
"Excl. Tax:","HT :"
"Excluding tax","HT"
"Export Tax Rates","Exporter les taux de TVA"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignoré si l'option 'Appliquer les taxes après la remise' est activée"
"Import / Export Tax Rates","Importer / exporter les taux de TVA"
"Import Tax Rates","Importer les taux de TVA"
"Inc. Tax","TTC"
"Incl. Tax","TTC"
"Incl. Tax:","TTC :"
"Including and excluding tax","HT et TTC"
"Including tax","TTC"
"Incorrect rate Data","Données de taux incorrectes"
