"%s already exist","%s esiste già"
"%s already exists","%s esistono già"
"* Required Fields","* Campi Obbligatori"
"-- Please Select --","-- Seleziona --"
"Enabled","Abilitato"
"Enabled for Frontend","Abilitato nel Frontend"
"Enabled for Admin","Abilitato per l'Amministratore"
"Admin User","Admin User"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Aggiornamento del layout non valido, era previsto Mage_Core_Model_Layout_Element"
"Add Store Code to Urls","Aggiungi il Codice del Negozio agli URLs"
"Cancel","Annulla"
"Please wait, loading...","Attendere, caricamento in corso..."
"Advanced","Avanzato"
"Invalid block: %s","Blocco non valido: %s"
"Unknown scope ""%s""","Campo ""%s"" sconosciuto"
"Clear All Items","Cancella tutti i Prodotti"
"Invalid base dir type specified: %s","Cartella base specificata non valida: %s"
"Root Category","Categoria di root"
"Search","Cerca"
"Search entire store here...","Cerca in tutto il negozio..."
"Code pools root directory","Code pools root directory"
"Code","Codice"
"Invalid transactional email code: ","Codice transazionale email non valido: "
"Comment","Commento"
"Compare Items","Confronta Oggetti"
"Compare Products","Confronta Prodotti"
"Compare Products (%d)","Confronta Prodotti (%d)"
"Compare Products - %d Items","Confronta Prodotti - %d Oggetti"
"Allow countries","Consenti paesi"
"Contact Us","Contattaci"
"General contact","Contatti Generali"
"Sales representative","Contatto Commerciale"
"Please make sure your passwords match.","Controlla che le password coincidano."
"Create Store","Crea Negozio"
"Create Website","Crea Sito Web"
"Create Store View","Crea Vetrina Negozio"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - tutte gli eventi in minuti"
"Date To","Data arrivo"
"Incorrect credit card expiration date","Data di scadenza della carta di credito non corretta"
"Date From","Data partenza"
"Debug","Debug"
"Default","Default"
"Default no-route url","Default no-route url"
"Design","Design"
"Base directory","Directory base"
"Session files directory","Directory dei files di Sessione"
"Media files directory","Directory files Media"
"Skin directory","Directory Skin"
"Disable email communications","Disabilita le email di comunicazione"
"Disable modules output","Disabilita moduli di output"
"Cookie Domain","Dominio del Cookie"
"Duplicate Of Template Code","Duplica il modello del codice"
"Delete","Elimina"
"Delete Store","Elimina negozio"
"Delete Website","Elimina sito"
"Delete Store View","Elimina Vista Negozio"
"Deleting a store will not delete the information associated with the store (e.g. categories, products, etc.), but the store will not be able to be restored. It is suggested that you create a database backup before deleting the store.","Eliminando il negozio non verranno eliminate anche le informazioni ad esso associate ( categorie, prodotti ecc.) ma il negozio non potrà essere restaurato, è consigliabile creare un database backup prima di cancellare il negozio."
"Deleting a website will not delete the information associated with the website (e.g. stores, categories, products, etc.), but the website will not be able to be restored. It is suggested that you create a database backup before deleting the website.","Eliminando il website non verranno eliminate anche le informazioni ad esso associate ( categorie, prodotti ecc.) ma il negozio non potrà essere restaurato, è consigliabile creare un database backup prima di cancellare il negozio."
"Deleting a store view will not delete the information associated with the store view (e.g. categories, products, etc.), but the store view will not be able to be restored. It is suggested that you create a database backup before deleting the store view.","Eliminando la vista del negozio non verranno eliminate anche le informazioni associate con la vista del negozio ( categorie, prodotti ecc.) ma la vista del negozio non potrà essere restaurata, è consigliabile creare un database backup prima di cancellare la vista del negozio."
"Email","Email"
"Sender email","Email Mittente"
"Error while saving. Please try again later.","Errore durante il salvataggio. Per favore riprovare più tardi."
"Error in file: ""%s"" - %s","Errore nel file: ""%s"" - %s"
"Error: Passwords do not match","Errore: le due password non coincidono"
"Filesystem","Filesystem"
"Timezone","Fuso orario"
"General","Generale"
"Invalid layout update handle","Gestione dell'aggiornamento di layout non valida"
"Session Cookie management","Gestione delle sessioni dei cookie"
"Manage Stores","Gestisci Negozi"
"Global","Globale"
"Host","Host"
"Database was successfuly backed up.","Il backup del database è stato creato correttamente."
"Block with name ""%s"" already exists","Il blocco chiamato ""%s"" esiste già."
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Il codice del Website deve contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Il codice negozio deve contenere solo lettere (a-z), numeri (0-9) o underscore(_), il primo carattere deve essere una lettera"
"Controller file was loaded but class does not exist","Il file del controller è stato caricato ma la classe non esiste"
"Store was successfully deleted.","Il negozio è stato eliminato correttamente."
"Store was successfully saved","Il negozio è stato salvato correttamente"
"Store not exists","Il Negozio non esiste"
"Model collection resource name is not defined","Il nome della risorsa collezione modelli non è definito"
"Website not exists","Il Sito non esiste"
"Website was successfully saved","Il sito salvato con successo"
"Your order # is: %s","Il tuo ordine # è: %s"
"Your order has been received","Il tuo ordine è stato ricevuto"
"Can't retrieve entity config: %s","Impossibile ottenere la configurazione per l'oggetto: %s"
"Set as default","Imposta come predefinito"
"Locale options","Impostazioni Locali"
"Locale","Impostazioni Locali"
"Back","Indietro"
"Store Email Addresses","Indirizzi email del negozio"
"Contact Information","Informazioni Contatto"
"Store Information","Informazioni Negozio"
"Website Information","Informazioni Sito"
"Store View Information","Informazioni sulla Vetrina del Negozio"
"Please enter a valid zip code.","Inserire un CAP valido."
"Please enter a valid credit card number.","Inserire un numero di carta di credito valida."
"Please enter a valid social security number. For example 123-45-6789.","Inserire un numero di sicurezza sociale valido. Ad esempio 123-45-6789."
"Please enter a number greater than 0 in this field.","Inserire un numero maggiore di 0 in questo campo."
"Please enter a valid number in this field.","Inserire un numero valido in questo campo."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Inserire un URL valido. Per esempio http://www.example.com o www.example.com"
"Please enter a valid date.","Inserire una data valida."
"Please enter valid password.","Inserire una password valida."
"Please enter a valid $ amount. For example $100.00.","Inserire una quantità di € valida. Per esempio € 100,00."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Inserisci un codice postale valido. Per esempio 30010."
"Please enter a valid URL. http:// is required","Inserisci un URL valido. http:// è richiesto"
"Unsecure","Insicuro"
"Submit","Invia"
"Allowed IPs (comma separated)","IP consentiti (separati da virgola)"
"Base JavaScript URL","JavaScript URL di base"
"Model class does not exist: %s","La classe di modello non esiste: %s"
"Start date can't be greater than end date","La data d'inizio non può essere più grande di quella di fine"
"Your session has been expired, you will be relogged in now.","La tua sessione è scaduta, devi rieffettuare il login."
"Store View not exists","La Vetrina del Negozio non esiste"
"Leave empty for access from any location","Lasciare vuoto per accedere da qualsiasi postazione"
"Layout","Layout"
"Base Link URL","Link URL di base"
"Keep your eyes open for our special Back to School items and save A LOT!","Mantieni i tuoi occhi aperti per il nostro speciale Torna a Scuola e risparmi MOLTISSIMO!"
"Base Media URL","Media URL di base"
"located in {{base_dir}}/var/log","Memorizzato in {{base_dir}}/var/log"
"Invalid messages storage ""%s"" for layout messages initialization","Messaggio storage non valido ""%s"" per il layout di inizializzazione messaggio."
"Please enter 6 or more characters.","Minimo 6 caratteri."
"Forgot Password Email Sender","Mittente dell'email Password Dimenticata"
"Templates","Modelli"
"Forgot Password Email Template","Modello dell'email Password Dimenticata"
"Design Change","Modifica del Design"
"Edit Design Change","Modifica i cambiamenti di Design"
"Edit Store","Modifica negozio"
"Edit Store View","Modifica Vetrina Negozio"
"Edit Website","Modifica Website"
"Stores","Negozi"
